title,category,jingle_fname,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var,genre,key,kmeans_clusters,embeddings_clusters
Маркетинговая рубка,Бизнес и работа,marketingovaja_rubka_jingle.mp3,142042.0,0.5233191847801208,0.080476701259613,0.2392047345638275,0.0060200868174433,1025.3833694133602,700677.1995798704,1202.7539906016816,386913.0000574046,1818.7036308453241,2078880.822155072,0.0285978248651079,0.0010297746121787,3.736491635208949e-05,0.0465217120945453,-7.835531869204716e-05,0.0032796883024275,123.046875,-231.74896240234366,3103.459228515625,212.94688415527344,2930.586181640625,12.513799667358398,4623.64404296875,19.10506057739257,467.7264709472656,5.030951976776123,236.0450134277344,-2.2283122539520264,220.5482177734375,-1.1236861944198608,177.16236877441406,0.2774132490158081,149.16433715820312,2.5713467597961426,108.25955200195312,-7.404360294342041,171.55564880371094,-1.3655400276184082,113.60385131835938,4.23997974395752,66.43416595458984,1.3659112453460691,52.62621688842773,2.800500869750977,80.33553314208984,-0.0510026402771472,51.94187927246094,-5.5234031677246085,43.25421905517578,-2.5719215869903564,57.793006896972656,-0.1255815923213958,66.38617706298828,-2.4907445907592773,40.75877380371094,-2.5343053340911865,32.764755249023445,Jazz,D Maj,7,2
Богема и Маркетинг,Бизнес и работа,bogema_i_marketing_jingle.mp3,749665.0,0.5855611562728882,0.079283133149147,0.2038845419883728,0.0258983206003904,2968.117499282241,3482308.873973768,3355.0423419332915,844051.7036386088,6071.995820445819,13033813.519841233,0.0704084897610921,0.0068662147689492,-4.122400423511863e-05,0.0249276757240295,-0.0004046299436595,0.0251661036163568,101.33272058823529,-188.3082275390625,9931.2548828125,111.78267669677734,1893.3262939453125,-12.020304679870605,1259.5919189453125,25.170738220214844,775.71484375,3.024860382080078,552.2916259765625,35.339744567871094,279.79299926757807,-0.6687453985214233,254.61659240722656,17.02783203125,169.61647033691406,1.3203195333480835,207.53741455078125,8.867274284362793,96.4297332763672,0.1332031637430191,100.22713470458984,5.639186382293701,123.14405822753906,7.281498432159424,101.8631820678711,1.2814995050430298,62.6865463256836,0.7067785859107971,63.99013900756836,0.5144932866096497,57.77989959716797,0.7452954053878784,52.98871612548828,-2.067150354385376,51.58366012573242,2.4696044921875,45.06744766235352,-4.989278316497803,55.85839462280274,Hiphop,c min,3,2
Взяла и сделала,Бизнес и работа,vzjala_i_sdelala_jingle.mp3,371174.0,0.4681580066680908,0.0967368930578231,0.0796864032745361,0.0015548653900623,1431.3302323228415,971679.6689980016,2385.751432279173,798386.9845666642,2432.717335668104,5206570.70735113,0.0239035560344827,0.0004124278028853,3.5757369914790615e-05,0.0059383185580372,1.41386753966799e-05,0.0009386394522152,161.4990234375,-316.2074890136719,5948.07666015625,170.42893981933594,1159.0677490234375,19.61781311035156,636.0936889648438,17.945575714111328,1222.4783935546875,-14.396376609802244,353.5624389648437,9.757912635803224,553.830078125,-14.285515785217285,239.4794006347656,3.4916918277740483,354.1338806152344,-11.96469020843506,175.3356475830078,-10.523743629455566,222.81948852539062,-1.7003977298736572,133.96113586425778,-3.43692946434021,117.7191925048828,-12.358438491821287,136.36436462402344,-6.8314266204833975,156.34291076660156,-5.077762603759767,121.8221435546875,-4.690270900726318,90.06106567382812,0.5029835700988771,112.49437713623048,-2.9343008995056152,66.61294555664061,3.229902982711792,133.4373779296875,1.1599435806274414,59.66675567626953,Reggae,d min,0,1
Нормальные деньги,Бизнес и работа,normalnye_dengi_jingle.mp3,335923.0,0.213703155517578,0.0851563662290573,0.0169496368616819,1.6189813322853297e-05,953.2693529462508,25522.13310033896,1607.8841080812522,69273.25152056517,1318.605522260274,87517.74470697403,0.0225456621004566,1.41723766276398e-05,-8.578222718824691e-07,0.0002884728310164,-6.280721436269232e-07,2.5058109258679906e-06,117.45383522727272,-502.1851806640625,897.67626953125,191.66162109375,100.87393188476562,10.708052635192873,155.90817260742188,18.45506858825684,136.7406005859375,1.3072062730789185,120.38473510742188,-0.1746971160173416,59.06403350830078,-13.879776000976562,79.22371673583984,-16.200942993164062,51.3257827758789,-12.252262115478516,48.37994003295898,-20.3323917388916,74.40460205078125,-17.715492248535156,122.00135803222656,-15.897591590881348,58.343238830566406,-2.0093047618865967,42.5258674621582,1.3458157777786257,65.77588653564453,-3.558075428009033,51.75215148925781,-7.761857509613037,45.63001251220703,-8.574019432067871,107.76593780517578,-0.7984334826469421,95.4317626953125,2.630621194839477,70.14743804931639,7.070975303649902,68.87687683105469,Classical,A Maj,4,2
ПЛЮС-МИНУС ДЕНЬГИ,Бизнес и работа,pljusminus_dengi_jingle.mp3,234330.0,0.3811613619327545,0.0907143428921699,0.0482505559921264,0.0006813732325099,2922.083227024859,2185865.2396786814,2444.837589562846,909751.585724688,5222.036836449236,6671020.769045993,0.1102534798034934,0.00312944974423,8.429410627286419e-06,0.0009712193277664,0.0001120522792916,0.0012544691562652,126.04801829268291,-276.57516479492193,9813.83203125,147.37168884277344,2344.169677734375,-58.61405563354492,885.8157958984375,33.445972442626946,978.0964965820312,1.9565520286560056,932.7569580078124,9.53111743927002,441.9695129394531,-6.864182949066162,175.49191284179688,2.6628494262695312,174.354248046875,-9.55943775177002,122.76007080078124,7.085250377655027,94.91426849365234,0.7129695415496826,122.43067932128906,-1.526302933692932,43.769630432128906,-7.425136089324951,66.33116912841797,-1.0094311237335205,46.5958480834961,1.0514084100723269,50.187278747558594,-0.2989106774330139,76.9728775024414,0.6259256601333618,51.47732162475586,-5.520313739776611,44.62270736694336,-2.075429677963257,34.46261215209961,-5.531203746795653,55.854454040527344,Reggae,a# min,2,2
Неслучайная вакансия,Бизнес и работа,nesluchajnaja_vakansija_jingle.mp3,129600.0,0.5039811730384827,0.068320907652378,0.0908606350421905,0.0048587322235107,2627.2608493193225,1440667.350741875,2982.8566817883693,1355971.2312297958,5665.3518316313975,9044443.704380127,0.0542261318897637,0.0010141962422596,-3.661607115645893e-05,0.0066366605460643,3.983879287261516e-05,0.0022233538329601,99.38401442307692,-205.5597381591797,6227.69482421875,134.69529724121094,1058.6068115234377,-34.748260498046875,424.7603454589844,30.316509246826172,662.2012939453125,11.075066566467283,314.67095947265625,25.90329170227051,507.7229614257813,-3.638294219970703,114.7221908569336,10.614073753356934,277.39761352539057,-8.021583557128906,122.89967346191406,3.4124083518981934,238.9966125488281,-4.395843982696533,118.51979064941406,0.9939445257186892,89.32838439941406,0.4043272733688354,59.71519470214844,-0.5206896066665649,61.700584411621094,-2.365163803100586,62.37293243408203,-2.009101867675781,47.6026611328125,0.392934113740921,53.28767013549805,-2.7428770065307617,65.13456726074219,-3.235369682312012,90.12321472167969,-5.341097831726074,55.65400314331055,Reggae,C Maj,2,1
Как это работает?,Бизнес и работа,kak_eto_rabotaet_jingle.mp3,394360.0,0.4014325439929962,0.080948419868946,0.0409223064780235,0.0002060019178315,1060.654737782375,153579.95619504698,1628.8752950206942,209863.31835711343,1876.1257067728602,596168.024133962,0.0233773356436446,8.816579727898542e-05,-7.117773179743382e-07,0.0012676923070102,4.818612433155067e-05,0.0001516086049377,151.9990808823529,-357.27294921875,2741.323486328125,202.2616271972656,316.1292724609375,-4.757513999938965,425.60198974609375,20.364744186401367,235.0717620849609,14.561708450317385,209.74139404296875,15.65815258026123,124.28817749023438,6.229282379150393,98.21459197998048,1.520508885383606,59.07196426391602,-4.353100299835205,55.156028747558594,-8.065754890441895,47.1539077758789,-8.466437339782715,70.51321411132812,-5.986900806427003,82.36739349365234,-5.592168807983398,82.6469497680664,-7.374426364898682,66.17687225341797,0.3662976324558258,87.7945785522461,1.943125367164612,71.50320434570312,3.9612648487091056,55.93297576904297,4.005006790161134,82.9653091430664,4.817835807800293,64.12814331054689,-1.0228642225265503,56.86780548095703,Reggae,C# Maj,7,4
Тандемократия,Бизнес и работа,tandemokratija_jingle.mp3,110938.0,0.6917997598648071,0.0437640585005283,0.2909603416919708,0.0141865387558937,1065.3913798022168,494144.8942390577,1920.746201680988,915851.4028921656,2397.627898185484,4649726.6709072655,0.0109244491647465,8.6409446805258e-05,0.0003191734431311,0.0732771828770637,0.000266732298769,0.0056733526289463,82.03125,-227.2232818603516,2641.37646484375,162.9302978515625,1153.6611328125,6.289882183074951,396.5161437988281,41.7775764465332,508.4346923828125,37.40254211425781,673.4669799804688,41.87545776367188,154.3440704345703,18.11662673950196,149.70343017578125,10.223101615905762,65.70903015136719,2.470574378967285,75.89540100097656,-0.4476885795593261,112.50641632080078,4.558566093444824,112.34811401367188,4.104148864746094,85.73258209228516,-0.1063048243522644,38.94005584716797,-0.2696374356746673,88.1412353515625,4.765892028808594,96.43150329589844,2.302368402481079,44.94472885131836,0.5730433464050293,50.08215713500977,2.324472665786743,53.70247268676758,0.4066162109375,51.71567916870117,-2.39970326423645,57.73986434936523,Hiphop,d min,3,2
Pokolenie Zero,Бизнес и работа,pokolenie_zero_jingle.mp3,633485.0,0.3364985585212707,0.1025901660323143,0.0137687092646956,2.207245597674045e-05,465.66696294073694,18315.66340097419,1005.8149892790796,53102.61545444209,609.1391814544627,163160.2875848155,0.0156226335319063,2.552233738368471e-05,-3.514821003136604e-07,0.0001877263566711,-1.2302901950533847e-06,4.582573637890164e-06,74.89809782608695,-618.4232788085938,905.9634399414062,198.75323486328125,750.1517333984375,115.97333526611328,113.71728515625,36.30913162231445,611.6838989257812,-6.7123165130615225,376.5096740722656,-14.799652099609375,46.9427604675293,-8.872655868530273,53.85861587524414,-4.620631217956543,40.891685485839844,-4.620506286621094,22.87953186035156,-5.933311462402344,20.785625457763672,-7.651586532592771,15.704962730407715,-10.764019966125488,13.972795486450195,-14.71452808380127,16.209304809570312,-16.655704498291016,22.65263748168945,-14.142660140991213,59.77997589111328,-7.867827415466309,116.61882781982422,-1.24415123462677,94.01311492919922,2.596242904663086,35.21736145019531,2.910630702972412,67.35848236083984,0.7450306415557861,85.71717071533203,Classical,d# min,4,2
Деньги делают деньги,Бизнес и работа,dengi_delajut_dengi_jingle.mp3,675994.0,0.6187905073165894,0.0658414140343666,0.3432471752166748,0.0265127699822187,1014.4745475349886,1325943.3472342112,2167.654658594552,2097516.9714247333,2041.0086020297128,12380940.82414458,0.0137435832229371,0.0004719109555905,2.3795655579306185e-05,0.1325054764747619,0.0007553288014605,0.0023127908352762,117.45383522727272,-290.9773864746094,3494.354736328125,135.916259765625,1202.472412109375,72.4237060546875,804.7236938476562,49.69597625732422,816.9588623046875,24.86849403381348,282.3246765136719,31.98171043395996,211.51744079589844,12.57246208190918,93.17251586914062,20.48047065734864,126.41527557373048,9.081243515014648,125.8220672607422,9.491525650024414,101.37698364257812,8.967737197875977,62.83435821533203,6.542407512664795,63.14192199707031,-9.428109169006348,109.29025268554688,3.012281656265259,53.439491271972656,5.807430744171143,73.92534637451172,-4.332553863525392,51.44648361206055,3.614537715911865,49.78870010375977,3.9991705417633057,25.23593330383301,-1.2250003814697266,35.5241584777832,4.110698223114014,31.28302383422852,Country,F Maj,3,2
